asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
4bb7d4ee-c30c-4c20-b1b7-e2a4329bd10e,CZone,wproof_keypad_6x2,Control/automation,Uncategorized,"Wproof keypad 6x2"
9d399ee5-6ac1-2a60-d55c-a22b5a28cd36,CZone,czone_gateway,Control/automation,Uncategorized,""
329c5200-e0c6-d03e-3dea-9cdff7591070,CZone,touch_7,Control/automation,Displays/controls,"Touch 7"
2e5d375c-f030-5a86-a6a2-91902193b68a,Flexiteek,material_guarantee,Interior/Comfort,Flooring,"Material Guarantee"
603ed86f-0d7a-4ee9-a681-d3a97b600764,Fortress,fx_37,Rigging/Deck,Anchor,"Secondary anchor, Fortress FX-37, 9.5kgs"
af9a3816-26ee-e2b1-ecef-62d64098b451,Franke,flexi_faucet,Hull/Plumbing,Shower,"Flexi faucet"
b478c2fd-8991-b329-57c8-b973bc8c863d,Frigomar,airconditioners,Interior/Comfort,Hvac,"Airconditioners"
fd32badc-12e6-32a0-1225-e54cd20d8b6d,Fusion,6_5_xs_speakers,Interior/Comfort,Uncategorized,"6,5 XS Speakers"
cc01cf4d-5c29-efc5-3f90-099f8a8a74f0,Fusion,radio_stereo,Interior/Comfort,Audio/entertainment,"Radio/stereo"
995f4ace-1042-dbad-9d2d-4d46fe9dc4cb,Gewiss,disposal_guide,Hull/Plumbing,Uncategorized,"Disposal guide"
cdcb9764-0cad-4116-8560-ed32a55c9a5d,Hansgrohe,shower_head,Hull/Plumbing,Shower,"Shower head"
67f3c4a4-3811-0d7f-a316-bb6c9e434c7d,Hansgrohe,mixer_tap,Hull/Plumbing,Shower,"Mixer tap"
45711cb3-7a32-4553-8375-e347663f6f78,Hansgrohe,mixer_tap_showers,Hull/Plumbing,Shower,"Mixer tap - showers"
46020346-2f50-628b-bddc-6e8a331f1915,Harken,50_2sta,Rigging/Deck,Winches,"50.2 STA winch"
f0845b51-0568-4e99-81bc-eb00fd689971,Harken,dual_function_control_box,Propulsion,Controls,"Dual function control box"
e7505403-03a3-43ad-8e64-5fdf42f573c4,Harken,black_magic_footblock,Rigging/Deck,Uncategorized,"Black Magic Footblock"
d989bc6c-bab9-a001-2889-f4e83e47b28f,Harken,32mm_big_boat_cb_traveler_car,Rigging/Deck,Uncategorized,"32mm Big Boat CB traveler car"
4dfca1c2-9aa7-4f69-893a-131fc9405612,Harken,analogic_switch,Control/automation,Relays/switching,"Analogic switch"
